insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(3159, 3035, '11:40', '17:51');
insert into attendance_detail values(3160, 3036, '09:01', '17:57');
insert into attendance_detail values(3162, 3038, '09:07', '17:54');
insert into attendance_detail values(3164, 3040, '09:01', '17:54');
insert into attendance_detail values(3165, 3041, '10:19', '11:04');
insert into attendance_detail values(3166, 3041, '12:41', '17:54');
insert into attendance_detail values(3168, 3043, '09:08', '17:51');
insert into attendance_detail values(3169, 3044, '09:03', '17:53');
insert into attendance_detail values(3170, 3045, '09:02', '17:51');
insert into attendance_detail values(3171, 3046, '09:10', '17:57');
insert into attendance_detail values(3172, 3047, '09:05', '17:55');
insert into attendance_detail values(3173, 3048, '09:08', '17:55');
insert into attendance_detail values(3175, 3050, '09:01', '17:58');
insert into attendance_detail values(3176, 3051, '09:04', '17:51');
insert into attendance_detail values(3177, 3052, '09:07', '17:53');
insert into attendance_detail values(3178, 3053, '09:03', '11:21');
insert into attendance_detail values(3179, 3053, '12:43', '17:50');
insert into attendance_detail values(3180, 3054, '09:10', '17:57');
insert into attendance_detail values(3181, 3055, '09:10', '17:58');
insert into attendance_detail values(3182, 3056, '09:06', '17:51');
insert into attendance_detail values(3183, 3057, '09:09', '17:59');
insert into attendance_detail values(3184, 3058, '09:41', '17:57');
insert into attendance_detail values(3185, 3059, '09:08', '17:50');
insert into attendance_detail values(3186, 3060, '09:10', '17:58');
insert into attendance_detail values(3187, 3061, '09:03', '17:57');
insert into attendance_detail values(3188, 3062, '10:28', '11:45');
insert into attendance_detail values(3189, 3062, '12:57', '17:55');
insert into attendance_detail values(3190, 3063, '09:03', '17:56');
insert into attendance_detail values(3191, 3064, '09:07', '17:53');
insert into attendance_detail values(3192, 3065, '09:03', '17:57');
insert into attendance_detail values(3193, 3066, '09:10', '17:59');
insert into attendance_detail values(3194, 3067, '09:02', '17:51');
insert into attendance_detail values(3248, 3121, '09:09', '17:50');
insert into attendance_detail values(3249, 3122, '09:07', '17:59');
insert into attendance_detail values(3250, 3123, '10:27', '10:59');
insert into attendance_detail values(3251, 3124, '09:42', '17:50');
insert into attendance_detail values(3252, 3125, '09:00', '17:59');
insert into attendance_detail values(3253, 3126, '09:08', '17:54');
insert into attendance_detail values(3254, 3127, '09:05', '17:54');
insert into attendance_detail values(3255, 3128, '09:01', '17:50');
insert into attendance_detail values(3256, 3129, '09:04', '17:50');
insert into attendance_detail values(3257, 3130, '09:08', '17:58');
insert into attendance_detail values(3258, 3131, '09:04', '17:59');
insert into attendance_detail values(3259, 3132, '09:04', '17:54');
insert into attendance_detail values(3260, 3133, '09:00', '17:53');
insert into attendance_detail values(3261, 3134, '10:32', '10:06');
insert into attendance_detail values(3262, 3134, '11:39', '17:54');
insert into attendance_detail values(3263, 3135, '09:03', '17:54');
insert into attendance_detail values(3264, 3136, '09:07', '17:57');
insert into attendance_detail values(3265, 3137, '09:17', '17:51');
insert into attendance_detail values(3266, 3138, '09:07', '17:56');
insert into attendance_detail values(3268, 3140, '09:03', '17:59');
insert into attendance_detail values(3269, 3141, '09:01', '12:51');
insert into attendance_detail values(3270, 3141, '13:59', '17:58');
insert into attendance_detail values(3271, 3142, '09:01', '17:54');
insert into attendance_detail values(3272, 3143, '09:03', '17:53');
insert into attendance_detail values(3273, 3144, '10:15', '17:56');
insert into attendance_detail values(3274, 3145, '09:10', '17:59');
insert into attendance_detail values(3276, 3147, '09:07', '17:53');
insert into attendance_detail values(3277, 3148, '09:07', '17:59');
insert into attendance_detail values(3278, 3149, '09:05', '17:51');
insert into attendance_detail values(3279, 3150, '09:00', '17:55');
insert into attendance_detail values(3280, 3151, '09:05', '17:56');
insert into attendance_detail values(3282, 3153, '10:24', '11:28');
insert into attendance_detail values(3283, 3153, '12:53', '17:52');
insert into attendance_detail values(3284, 3154, '09:10', '17:58');
insert into attendance_detail values(3285, 3155, '09:10', '17:55');
insert into attendance_detail values(3286, 3156, '10:59', '17:52');
insert into attendance_detail values(3287, 3157, '10:55', '11:46');
insert into attendance_detail values(3289, 3159, '09:06', '11:59');
insert into attendance_detail values(3290, 3160, '10:58', '17:56');
insert into attendance_detail values(3291, 3161, '09:08', '17:52');
insert into attendance_detail values(3292, 3162, '09:00', '17:51');
insert into attendance_detail values(3293, 3163, '09:01', '17:57');
insert into attendance_detail values(3294, 3164, '09:08', '17:58');
insert into attendance_detail values(3295, 3165, '09:09', '17:50');
insert into attendance_detail values(3296, 3166, '09:00', '12:13');
insert into attendance_detail values(3297, 3167, '09:02', '17:50');
insert into attendance_detail values(3298, 3168, '09:06', '17:53');
insert into attendance_detail values(3299, 3169, '09:36', '10:16');
insert into attendance_detail values(3300, 3169, '11:30', '17:57');
insert into attendance_detail values(3301, 3170, '09:00', '17:53');
insert into attendance_detail values(3304, 3173, '09:08', '17:58');
insert into attendance_detail values(3305, 3174, '09:02', '17:51');
insert into attendance_detail values(3306, 3175, '09:00', '17:54');
insert into attendance_detail values(3307, 3176, '09:07', '17:56');
insert into attendance_detail values(3309, 3178, '09:05', '17:59');
insert into attendance_detail values(3310, 3179, '09:10', '17:56');
insert into attendance_detail values(3311, 3180, '09:02', '17:51');
insert into attendance_detail values(3313, 3182, '09:09', '17:50');
insert into attendance_detail values(6221, 5970, '09:08', '17:53');
insert into attendance_detail values(6222, 5971, '09:05', '13:53');
insert into attendance_detail values(6223, 5972, '09:03', '17:54');
insert into attendance_detail values(6224, 5973, '09:09', '17:55');
insert into attendance_detail values(6225, 5974, '09:07', '17:55');
insert into attendance_detail values(6226, 5975, '09:04', '17:57');
insert into attendance_detail values(6227, 5976, '09:05', '17:54');
insert into attendance_detail values(6229, 5978, '09:02', '17:54');
insert into attendance_detail values(6230, 5979, '09:08', '11:54');
insert into attendance_detail values(6231, 5980, '09:07', '17:54');
insert into attendance_detail values(6233, 5982, '09:10', '17:55');
insert into attendance_detail values(6234, 5983, '10:23', '17:59');
insert into attendance_detail values(6235, 5984, '09:04', '17:53');
insert into attendance_detail values(6236, 5985, '09:59', '17:55');
insert into attendance_detail values(6237, 5986, '09:09', '17:53');
insert into attendance_detail values(6238, 5987, '09:09', '11:18');
insert into attendance_detail values(6239, 5988, '09:06', '17:55');
insert into attendance_detail values(6240, 5989, '09:04', '17:58');
insert into attendance_detail values(6241, 5990, '09:07', '17:50');
insert into attendance_detail values(6242, 5991, '09:01', '17:55');
insert into attendance_detail values(6243, 5992, '09:00', '17:54');
insert into attendance_detail values(6244, 5993, '09:02', '17:55');
insert into attendance_detail values(6245, 5994, '09:05', '17:54');
insert into attendance_detail values(6246, 5995, '09:02', '12:50');
insert into attendance_detail values(6247, 5996, '09:08', '17:55');
insert into attendance_detail values(6248, 5997, '09:08', '17:55');
insert into attendance_detail values(6249, 5998, '09:00', '17:51');
insert into attendance_detail values(6250, 5999, '09:53', '13:48');
insert into attendance_detail values(6251, 6000, '09:06', '17:50');
insert into attendance_detail values(6252, 6001, '09:03', '17:53');
insert into attendance_detail values(6253, 6002, '09:13', '15:58');
insert into attendance_detail values(6254, 6002, '16:37', '17:57');
insert into attendance_detail values(6255, 6003, '09:03', '17:50');
insert into attendance_detail values(6256, 6004, '09:10', '17:58');
insert into attendance_detail values(6315, 6063, '09:13', '17:58');
insert into attendance_detail values(6317, 6065, '09:04', '17:52');
insert into attendance_detail values(6318, 6066, '09:07', '17:57');
insert into attendance_detail values(6319, 6067, '09:09', '17:58');
insert into attendance_detail values(6320, 6068, '09:09', '17:56');
insert into attendance_detail values(6321, 6069, '10:58', '14:45');
insert into attendance_detail values(6322, 6069, '15:34', '17:50');
insert into attendance_detail values(6323, 6070, '09:08', '17:52');
insert into attendance_detail values(6324, 6071, '09:04', '17:57');
insert into attendance_detail values(6325, 6072, '09:05', '17:50');
insert into attendance_detail values(6326, 6073, '09:05', '17:55');
insert into attendance_detail values(6327, 6074, '09:00', '17:57');
insert into attendance_detail values(6328, 6075, '10:20', '17:58');
insert into attendance_detail values(6329, 6076, '09:07', '17:53');
insert into attendance_detail values(6332, 6078, '09:07', '17:54');
insert into attendance_detail values(6333, 6079, '10:18', '17:55');
insert into attendance_detail values(6334, 6080, '09:05', '17:50');
insert into attendance_detail values(6336, 6082, '09:09', '17:59');
insert into attendance_detail values(6337, 6083, '10:31', '17:58');
insert into attendance_detail values(6338, 6084, '09:04', '17:51');
insert into attendance_detail values(6339, 6085, '09:05', '14:20');
insert into attendance_detail values(6341, 6087, '09:08', '17:58');
insert into attendance_detail values(6342, 6088, '09:08', '17:57');
insert into attendance_detail values(6343, 6089, '09:06', '17:59');
insert into attendance_detail values(6344, 6090, '09:05', '17:57');
insert into attendance_detail values(6345, 6091, '09:01', '17:55');
insert into attendance_detail values(6346, 6092, '09:04', '17:55');
insert into attendance_detail values(6347, 6093, '09:00', '17:50');
insert into attendance_detail values(6348, 6094, '09:19', '17:57');
insert into attendance_detail values(6349, 6095, '09:08', '17:54');
insert into attendance_detail values(6350, 6096, '09:03', '17:59');
insert into attendance_detail values(6351, 6097, '09:02', '17:58');
insert into attendance_detail values(6352, 6098, '09:06', '17:53');
insert into attendance_detail values(6353, 6099, '09:02', '17:59');
insert into attendance_detail values(6354, 6100, '09:06', '17:58');
insert into attendance_detail values(6355, 6101, '09:01', '17:55');
insert into attendance_detail values(6356, 6102, '09:06', '17:57');
insert into attendance_detail values(6357, 6103, '09:09', '17:58');
insert into attendance_detail values(6358, 6104, '09:05', '11:38');
insert into attendance_detail values(6359, 6104, '12:57', '17:57');
insert into attendance_detail values(6360, 6105, '09:10', '17:59');
insert into attendance_detail values(6361, 6106, '09:06', '17:52');
insert into attendance_detail values(6362, 6107, '10:58', '17:57');
insert into attendance_detail values(6363, 6108, '10:51', '15:18');
insert into attendance_detail values(6364, 6108, '16:50', '17:56');
insert into attendance_detail values(6365, 6109, '10:41', '17:51');
insert into attendance_detail values(6366, 6110, '09:09', '17:55');
insert into attendance_detail values(6367, 6111, '09:09', '17:55');
insert into attendance_detail values(6368, 6112, '09:03', '17:58');
insert into attendance_detail values(6369, 6113, '09:02', '17:50');
insert into attendance_detail values(6370, 6114, '09:01', '17:57');
insert into attendance_detail values(6371, 6115, '09:09', '17:53');
insert into attendance_detail values(6372, 6116, '09:08', '17:52');
insert into attendance_detail values(6373, 6117, '09:10', '17:58');
insert into attendance_detail values(6374, 6118, '09:02', '17:56');
insert into attendance_detail values(6375, 6119, '09:03', '17:50');
insert into attendance_detail values(6376, 6120, '09:00', '17:55');
insert into attendance_detail values(5376, 5164, '09:07', '17:52');
insert into attendance_detail values(5378, 5166, '09:04', '17:55');
insert into attendance_detail values(5379, 5167, '09:00', '17:55');
insert into attendance_detail values(5380, 5168, '09:07', '11:06');
insert into attendance_detail values(5381, 5168, '12:32', '17:59');
insert into attendance_detail values(5382, 5169, '09:02', '17:58');
insert into attendance_detail values(5383, 5170, '09:06', '17:55');
insert into attendance_detail values(5384, 5171, '09:00', '10:56');
insert into attendance_detail values(5385, 5171, '11:54', '17:50');
insert into attendance_detail values(5386, 5172, '09:07', '17:59');
insert into attendance_detail values(5388, 5174, '09:08', '17:52');
insert into attendance_detail values(5389, 5175, '09:09', '17:57');
insert into attendance_detail values(5390, 5176, '09:58', '17:56');
insert into attendance_detail values(5391, 5177, '10:51', '17:59');
insert into attendance_detail values(5392, 5178, '09:09', '17:51');
insert into attendance_detail values(5394, 5180, '09:09', '17:58');
insert into attendance_detail values(5395, 5181, '09:34', '15:52');
insert into attendance_detail values(5396, 5181, '16:47', '17:53');
insert into attendance_detail values(5397, 5182, '10:23', '10:57');
insert into attendance_detail values(5398, 5182, '11:43', '17:57');
insert into attendance_detail values(5400, 5184, '09:02', '17:55');
insert into attendance_detail values(5401, 5185, '09:06', '11:08');
insert into attendance_detail values(5402, 5186, '09:50', '11:23');
insert into attendance_detail values(5403, 5186, '12:44', '17:53');
insert into attendance_detail values(5404, 5187, '09:10', '11:22');
insert into attendance_detail values(5405, 5188, '09:04', '17:52');
insert into attendance_detail values(5406, 5189, '09:10', '17:58');
insert into attendance_detail values(5407, 5190, '09:46', '11:46');
insert into attendance_detail values(5408, 5190, '12:41', '17:52');
insert into attendance_detail values(5409, 5191, '09:09', '17:51');
insert into attendance_detail values(5410, 5192, '09:03', '17:50');
insert into attendance_detail values(5469, 5251, '09:02', '17:55');
insert into attendance_detail values(5470, 5252, '09:02', '17:51');
insert into attendance_detail values(5471, 5253, '09:59', '17:53');
insert into attendance_detail values(5472, 5254, '09:01', '17:50');
insert into attendance_detail values(5473, 5255, '09:05', '17:52');
insert into attendance_detail values(5474, 5256, '09:03', '17:54');
insert into attendance_detail values(5475, 5257, '09:01', '17:56');
insert into attendance_detail values(5476, 5258, '09:01', '17:54');
insert into attendance_detail values(5477, 5259, '09:08', '17:59');
insert into attendance_detail values(5478, 5260, '09:09', '17:58');
insert into attendance_detail values(5479, 5261, '09:18', '17:57');
insert into attendance_detail values(5480, 5262, '09:07', '17:57');
insert into attendance_detail values(5481, 5263, '09:09', '17:57');
insert into attendance_detail values(5482, 5264, '10:39', '15:42');
insert into attendance_detail values(5483, 5265, '09:02', '17:59');
insert into attendance_detail values(5484, 5266, '09:09', '13:07');
insert into attendance_detail values(5485, 5267, '09:55', '17:50');
insert into attendance_detail values(5486, 5268, '09:06', '17:58');
insert into attendance_detail values(5487, 5269, '10:48', '17:56');
insert into attendance_detail values(5488, 5270, '09:01', '17:53');
insert into attendance_detail values(5489, 5271, '10:48', '13:32');
insert into attendance_detail values(5490, 5272, '09:03', '17:53');
insert into attendance_detail values(5491, 5273, '09:08', '10:27');
insert into attendance_detail values(5492, 5273, '11:55', '17:54');
insert into attendance_detail values(5493, 5274, '09:04', '17:54');
insert into attendance_detail values(5494, 5275, '09:08', '17:57');
insert into attendance_detail values(5495, 5276, '09:00', '17:59');
insert into attendance_detail values(5496, 5277, '09:03', '17:55');
insert into attendance_detail values(5497, 5278, '09:08', '17:51');
insert into attendance_detail values(5498, 5279, '09:05', '17:56');
insert into attendance_detail values(5499, 5280, '09:02', '17:57');
insert into attendance_detail values(5500, 5281, '10:56', '11:20');
insert into attendance_detail values(5501, 5281, '12:55', '17:57');
insert into attendance_detail values(5502, 5282, '09:10', '17:56');
insert into attendance_detail values(5504, 5284, '09:08', '17:51');
insert into attendance_detail values(5505, 5285, '09:04', '17:56');
insert into attendance_detail values(5507, 5287, '09:06', '17:54');
insert into attendance_detail values(5508, 5288, '10:18', '17:56');
insert into attendance_detail values(5509, 5289, '09:10', '17:51');
insert into attendance_detail values(5510, 5290, '09:03', '17:51');
insert into attendance_detail values(5511, 5291, '09:00', '12:35');
insert into attendance_detail values(5512, 5292, '09:04', '17:54');
insert into attendance_detail values(5513, 5293, '09:01', '17:53');
insert into attendance_detail values(5514, 5294, '09:08', '17:59');
insert into attendance_detail values(5515, 5295, '09:08', '17:52');
insert into attendance_detail values(5516, 5296, '09:08', '17:56');
insert into attendance_detail values(5517, 5297, '09:05', '17:52');
insert into attendance_detail values(5518, 5298, '09:03', '17:58');
insert into attendance_detail values(5519, 5299, '09:00', '17:52');
insert into attendance_detail values(5520, 5300, '09:06', '17:51');
insert into attendance_detail values(5521, 5301, '09:07', '17:50');
insert into attendance_detail values(5522, 5302, '09:01', '17:56');
insert into attendance_detail values(5523, 5303, '09:04', '17:57');
insert into attendance_detail values(5524, 5304, '09:04', '15:41');
insert into attendance_detail values(5525, 5305, '09:01', '17:59');
insert into attendance_detail values(5526, 5306, '09:04', '17:59');
insert into attendance_detail values(5527, 5307, '09:01', '17:53');
insert into attendance_detail values(5528, 5308, '09:02', '17:58');
insert into attendance_detail values(5529, 5309, '09:01', '17:55');
insert into attendance_detail values(5530, 5310, '09:07', '17:50');
insert into attendance_detail values(5531, 5311, '09:01', '17:52');
insert into attendance_detail values(5532, 5312, '09:09', '17:58');
insert into attendance_detail values(5533, 5313, '09:07', '17:51');
insert into attendance_detail values(5534, 5314, '09:10', '17:57');
insert into attendance_detail values(5535, 5315, '09:00', '17:51');
insert into attendance_detail values(5536, 5316, '09:06', '17:56');
insert into attendance_detail values(5537, 5317, '09:09', '17:57');
insert into attendance_detail values(5538, 5318, '09:06', '17:58');
insert into attendance_detail values(5539, 5319, '09:03', '17:50');
insert into attendance_detail values(5540, 5320, '09:07', '17:57');
insert into attendance_detail values(5541, 5321, '09:07', '17:57');
insert into attendance_detail values(5542, 5322, '09:01', '17:58');
insert into attendance_detail values(5543, 5323, '09:06', '17:54');
insert into attendance_detail values(5544, 5324, '09:00', '17:50');
insert into attendance_detail values(5545, 5325, '09:04', '17:53');
insert into attendance_detail values(5547, 5327, '09:03', '17:50');
insert into attendance_detail values(5548, 5328, '09:07', '17:59');
insert into attendance_detail values(5549, 5329, '09:03', '17:56');
insert into attendance_detail values(5550, 5330, '10:45', '17:58');
insert into attendance_detail values(5551, 5331, '09:04', '17:57');
insert into attendance_detail values(5552, 5332, '09:02', '17:50');
insert into attendance_detail values(5553, 5333, '09:07', '17:55');
insert into attendance_detail values(5554, 5334, '09:04', '17:58');
insert into attendance_detail values(5555, 5335, '10:47', '17:51');
insert into attendance_detail values(5556, 5336, '09:01', '17:53');
insert into attendance_detail values(5557, 5337, '09:05', '10:54');
insert into attendance_detail values(5558, 5337, '11:41', '17:56');
insert into attendance_detail values(5559, 5338, '09:08', '17:50');
insert into attendance_detail values(5560, 5339, '09:06', '17:57');
insert into attendance_detail values(5561, 5340, '09:06', '17:59');
insert into attendance_detail values(5562, 5341, '09:01', '17:50');
insert into attendance_detail values(5563, 5342, '09:09', '17:51');
insert into attendance_detail values(5565, 5344, '09:07', '17:54');
insert into attendance_detail values(5566, 5345, '09:05', '17:57');
insert into attendance_detail values(5567, 5346, '09:03', '17:54');
insert into attendance_detail values(5568, 5347, '09:10', '17:57');
insert into attendance_detail values(5569, 5348, '09:08', '17:59');
insert into attendance_detail values(5570, 5349, '09:08', '17:56');
insert into attendance_detail values(5571, 5350, '09:00', '17:56');
insert into attendance_detail values(5573, 5352, '10:20', '17:51');
insert into attendance_detail values(5574, 5353, '09:06', '17:51');
insert into attendance_detail values(5575, 5354, '09:05', '17:55');
insert into attendance_detail values(5576, 5355, '09:04', '17:51');
insert into attendance_detail values(5577, 5356, '09:07', '17:55');
insert into attendance_detail values(5578, 5357, '09:05', '17:59');
insert into attendance_detail values(5579, 5358, '10:56', '17:52');
insert into attendance_detail values(5580, 5359, '09:06', '17:55');
insert into attendance_detail values(5581, 5360, '09:11', '16:05');
insert into attendance_detail values(5582, 5361, '09:47', '17:59');
insert into attendance_detail values(5583, 5362, '09:18', '12:36');
insert into attendance_detail values(5584, 5363, '09:08', '17:58');
insert into attendance_detail values(5585, 5364, '09:10', '17:50');
insert into attendance_detail values(5586, 5365, '09:04', '17:57');
insert into attendance_detail values(5587, 5366, '09:09', '17:54');
insert into attendance_detail values(5588, 5367, '09:06', '12:11');
insert into attendance_detail values(5589, 5368, '09:06', '17:54');
insert into attendance_detail values(5590, 5369, '09:00', '17:55');
insert into attendance_detail values(5591, 5370, '09:06', '16:54');
insert into attendance_detail values(5592, 5371, '09:30', '17:51');
insert into attendance_detail values(5593, 5372, '09:01', '14:28');
insert into attendance_detail values(5594, 5372, '15:52', '17:51');
insert into attendance_detail values(5595, 5373, '09:13', '17:59');
insert into attendance_detail values(5596, 5374, '09:01', '17:52');
insert into attendance_detail values(5597, 5375, '09:40', '12:22');
insert into attendance_detail values(5598, 5375, '13:50', '17:51');
insert into attendance_detail values(5599, 5376, '10:57', '17:52');
insert into attendance_detail values(5600, 5377, '09:07', '17:57');
insert into attendance_detail values(5601, 5378, '09:07', '17:50');
insert into attendance_detail values(5602, 5379, '09:00', '17:52');
insert into attendance_detail values(5603, 5380, '09:09', '17:50');
insert into attendance_detail values(5604, 5381, '09:02', '17:58');
insert into attendance_detail values(5605, 5382, '09:03', '17:58');
insert into attendance_detail values(5606, 5383, '09:02', '17:56');
insert into attendance_detail values(5607, 5384, '09:03', '17:54');
insert into attendance_detail values(5608, 5385, '09:00', '17:53');
insert into attendance_detail values(5609, 5386, '09:25', '17:53');
insert into attendance_detail values(5610, 5387, '09:21', '17:52');
insert into attendance_detail values(5611, 5388, '09:08', '17:50');
insert into attendance_detail values(5612, 5389, '09:05', '17:54');
insert into attendance_detail values(5613, 5390, '09:06', '17:56');
insert into attendance_detail values(5614, 5391, '09:07', '17:51');
insert into attendance_detail values(5615, 5392, '09:02', '17:51');
insert into attendance_detail values(5616, 5393, '09:02', '17:54');
insert into attendance_detail values(5617, 5394, '09:02', '17:58');
insert into attendance_detail values(5618, 5395, '09:08', '17:50');
insert into attendance_detail values(5677, 5454, '09:17', '14:31');
insert into attendance_detail values(5678, 5455, '09:06', '17:53');
insert into attendance_detail values(5679, 5456, '09:37', '17:55');
insert into attendance_detail values(5680, 5457, '09:04', '17:57');
insert into attendance_detail values(5681, 5458, '10:42', '14:03');
insert into attendance_detail values(5682, 5459, '09:08', '17:55');
insert into attendance_detail values(5683, 5460, '09:19', '17:54');
insert into attendance_detail values(5684, 5461, '09:03', '17:50');
insert into attendance_detail values(5685, 5462, '09:01', '17:56');
insert into attendance_detail values(5686, 5463, '09:08', '17:59');
insert into attendance_detail values(5687, 5464, '09:10', '17:51');
insert into attendance_detail values(5688, 5465, '09:01', '17:53');
insert into attendance_detail values(5689, 5466, '09:10', '17:58');
insert into attendance_detail values(5690, 5467, '09:08', '17:59');
insert into attendance_detail values(5691, 5468, '09:08', '17:54');
insert into attendance_detail values(5692, 5469, '09:06', '17:59');
insert into attendance_detail values(5693, 5470, '09:10', '17:57');
insert into attendance_detail values(5694, 5471, '09:05', '12:59');
insert into attendance_detail values(5695, 5471, '13:33', '17:58');
insert into attendance_detail values(5696, 5472, '09:03', '17:53');
insert into attendance_detail values(5697, 5473, '09:03', '17:50');
insert into attendance_detail values(5698, 5474, '09:03', '17:50');
insert into attendance_detail values(5699, 5475, '09:03', '17:54');
insert into attendance_detail values(5700, 5476, '09:13', '16:26');
insert into attendance_detail values(5701, 5477, '09:02', '17:58');
insert into attendance_detail values(5702, 5478, '09:09', '17:51');
insert into attendance_detail values(5703, 5479, '09:08', '17:59');
insert into attendance_detail values(5705, 5481, '09:00', '17:52');
insert into attendance_detail values(5706, 5482, '09:02', '17:54');
insert into attendance_detail values(5707, 5483, '09:07', '17:52');
insert into attendance_detail values(5708, 5484, '09:03', '17:55');
insert into attendance_detail values(5709, 5485, '09:07', '17:54');
insert into attendance_detail values(5710, 5486, '09:04', '17:54');
insert into attendance_detail values(5712, 5488, '09:00', '17:56');
insert into attendance_detail values(5713, 5489, '09:41', '17:58');
insert into attendance_detail values(5716, 5491, '09:10', '17:54');
insert into attendance_detail values(5717, 5492, '09:02', '17:53');
insert into attendance_detail values(5718, 5493, '09:03', '17:54');
insert into attendance_detail values(5719, 5494, '09:07', '17:57');
insert into attendance_detail values(5720, 5495, '09:03', '17:52');
insert into attendance_detail values(5721, 5496, '09:06', '17:50');
insert into attendance_detail values(5722, 5497, '09:10', '17:53');
insert into attendance_detail values(5724, 5499, '09:10', '17:59');
insert into attendance_detail values(5725, 5500, '09:09', '17:53');
insert into attendance_detail values(5726, 5501, '09:09', '17:58');
insert into attendance_detail values(5727, 5502, '09:06', '17:52');
insert into attendance_detail values(5728, 5503, '09:09', '17:54');
insert into attendance_detail values(5729, 5504, '09:04', '17:51');
insert into attendance_detail values(5730, 5505, '09:05', '17:56');
insert into attendance_detail values(5731, 5506, '09:08', '17:52');
insert into attendance_detail values(5732, 5507, '09:58', '16:41');
insert into attendance_detail values(5733, 5508, '09:02', '17:54');
insert into attendance_detail values(5734, 5509, '09:04', '17:55');
insert into attendance_detail values(5735, 5510, '10:51', '11:35');
insert into attendance_detail values(5736, 5511, '09:09', '17:59');
insert into attendance_detail values(5737, 5512, '09:01', '17:51');
insert into attendance_detail values(5738, 5513, '09:07', '17:57');
insert into attendance_detail values(5739, 5514, '09:01', '17:56');
insert into attendance_detail values(5740, 5515, '09:00', '17:50');
insert into attendance_detail values(5741, 5516, '09:06', '17:57');
insert into attendance_detail values(5742, 5517, '09:02', '17:54');
insert into attendance_detail values(5743, 5518, '10:30', '17:53');
insert into attendance_detail values(5744, 5519, '09:41', '17:57');
insert into attendance_detail values(5745, 5520, '09:08', '17:50');
insert into attendance_detail values(5746, 5521, '09:10', '13:13');
insert into attendance_detail values(5747, 5522, '09:05', '17:55');
insert into attendance_detail values(5748, 5523, '09:09', '17:53');
insert into attendance_detail values(5749, 5524, '09:02', '17:50');
insert into attendance_detail values(5750, 5525, '09:04', '17:57');
insert into attendance_detail values(5751, 5526, '09:03', '17:59');
insert into attendance_detail values(5752, 5527, '09:00', '17:56');
insert into attendance_detail values(5753, 5528, '09:07', '17:56');
insert into attendance_detail values(5754, 5529, '09:03', '17:54');
insert into attendance_detail values(5755, 5530, '09:05', '17:50');
insert into attendance_detail values(5756, 5531, '09:01', '17:59');
insert into attendance_detail values(5757, 5532, '09:59', '11:09');
insert into attendance_detail values(5758, 5533, '09:09', '17:56');
insert into attendance_detail values(5759, 5534, '09:02', '17:52');
insert into attendance_detail values(5760, 5535, '09:08', '17:57');
insert into attendance_detail values(5761, 5536, '09:05', '17:55');
insert into attendance_detail values(5762, 5537, '09:02', '17:56');
insert into attendance_detail values(5763, 5538, '09:56', '17:51');
insert into attendance_detail values(5764, 5539, '09:47', '17:52');
insert into attendance_detail values(5765, 5540, '09:01', '17:59');
insert into attendance_detail values(5766, 5541, '09:33', '17:53');
insert into attendance_detail values(5767, 5542, '09:05', '17:52');
insert into attendance_detail values(5768, 5543, '09:10', '17:56');
insert into attendance_detail values(5769, 5544, '09:05', '17:59');
insert into attendance_detail values(5770, 5545, '09:02', '17:56');
insert into attendance_detail values(5771, 5546, '09:10', '17:57');
insert into attendance_detail values(5772, 5547, '09:00', '17:57');
insert into attendance_detail values(5773, 5548, '09:06', '10:24');
insert into attendance_detail values(5774, 5548, '11:51', '17:58');
insert into attendance_detail values(5775, 5549, '09:28', '15:45');
insert into attendance_detail values(5776, 5549, '16:36', '17:56');
insert into attendance_detail values(5777, 5550, '09:04', '17:58');
insert into attendance_detail values(5778, 5551, '10:55', '14:07');
insert into attendance_detail values(5779, 5551, '15:31', '17:55');
insert into attendance_detail values(5780, 5552, '10:22', '17:53');
insert into attendance_detail values(5781, 5553, '09:32', '17:50');
insert into attendance_detail values(5782, 5554, '09:04', '17:58');
insert into attendance_detail values(5783, 5555, '10:28', '17:58');
insert into attendance_detail values(5784, 5556, '09:01', '17:59');
insert into attendance_detail values(5785, 5557, '09:01', '17:51');
insert into attendance_detail values(5786, 5558, '09:02', '17:50');
insert into attendance_detail values(5787, 5559, '09:02', '17:50');
insert into attendance_detail values(5788, 5560, '09:00', '17:58');
insert into attendance_detail values(5789, 5561, '09:03', '17:52');
insert into attendance_detail values(5790, 5562, '09:04', '17:54');
insert into attendance_detail values(5791, 5563, '09:03', '17:55');
insert into attendance_detail values(5792, 5564, '09:06', '17:57');
insert into attendance_detail values(5793, 5565, '09:01', '17:53');
insert into attendance_detail values(5794, 5566, '09:06', '15:10');
insert into attendance_detail values(5795, 5566, '16:35', '17:51');
insert into attendance_detail values(5796, 5567, '09:10', '17:52');
insert into attendance_detail values(5797, 5568, '09:00', '17:52');
insert into attendance_detail values(5798, 5569, '09:10', '17:55');
insert into attendance_detail values(5799, 5570, '09:00', '17:51');
insert into attendance_detail values(5800, 5571, '09:02', '17:51');
insert into attendance_detail values(5801, 5572, '10:32', '14:34');
insert into attendance_detail values(5802, 5573, '09:07', '17:54');
insert into attendance_detail values(5803, 5574, '10:53', '17:58');
insert into attendance_detail values(5805, 5576, '10:44', '17:53');
insert into attendance_detail values(5806, 5577, '09:10', '17:56');
